* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 17, 2025 8:57:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3
* Smoothing: 1/6 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1500.114076 86.731 120.8942
1510.984521 86.608 118.5098
1521.933737 86.464 116.2961
1532.962297 86.308 114.2312
1544.070773 86.150 112.2810
1555.259747 85.999 110.3994
1566.529800 85.861 108.5306
1577.881521 85.740 106.6221
1589.315501 85.634 104.6376
1600.832336 85.539 102.5654
1612.432627 85.446 100.4196
1624.116978 85.346 98.2349
1635.886000 85.233 96.0604
1647.740304 85.101 93.9519
1659.680509 84.948 91.9680
1671.707238 84.774 90.1683
1683.821118 84.584 88.6129
1696.022780 84.384 87.3577
1708.312860 84.183 86.4441
1720.692000 83.993 85.8942
1733.160843 83.825 85.7118
1745.720041 83.692 85.8820
1758.370248 83.605 86.3596
1771.112124 83.575 87.0559
1783.946332 83.608 87.8389
1796.873543 83.704 88.5532
1809.894429 83.859 89.0505
1823.009670 84.060 89.2197
1836.219950 84.295 89.0067
1849.525956 84.549 88.4113
1862.928384 84.812 87.4698
1876.427931 85.072 86.2350
1890.025301 85.323 84.7605
1903.721204 85.559 83.0936
1917.516352 85.772 81.2738
1931.411466 85.958 79.3390
1945.407270 86.112 77.3353
1959.504493 86.233 75.3241
1973.703870 86.321 73.3813
1988.006142 86.385 71.5841
2002.412054 86.436 69.9883
2016.922357 86.487 68.6099
2031.537808 86.551 67.4158
2046.259169 86.638 66.3311
2061.087206 86.752 65.2554
2076.022694 86.895 64.0898
2091.066410 87.060 62.7592
2106.219139 87.238 61.2228
2121.481671 87.421 59.4750
2136.854802 87.601 57.5352
2152.339333 87.775 55.4314
2167.936071 87.939 53.1863
2183.645829 88.093 50.8141
2199.469427 88.233 48.3236
2215.407689 88.353 45.7256
2231.461446 88.446 43.0444
2247.631536 88.505 40.3265
2263.918800 88.527 37.6346
2280.324089 88.508 35.0352
2296.848258 88.449 32.5896
2313.492167 88.353 30.3523
2330.256685 88.225 28.3711
2347.142685 88.072 26.6948
2364.151049 87.904 25.3745
2381.282662 87.732 24.4487
2398.538418 87.568 23.9211
2415.919216 87.424 23.7397
2433.425962 87.304 23.7932
2451.059570 87.208 23.9385
2468.820958 87.127 24.0488
2486.711052 87.048 24.0549
2504.730786 86.960 23.9569
2522.881098 86.855 23.8015
2541.162934 86.733 23.6500
2559.577248 86.601 23.5588
2578.125000 86.469 23.5681
2596.807157 86.348 23.6923
2615.624692 86.247 23.9161
2634.578586 86.175 24.2053
2653.669829 86.135 24.5216
2672.899414 86.132 24.8359
2692.268345 86.164 25.1311
2711.777632 86.233 25.3938
2731.428290 86.335 25.6039
2751.221345 86.466 25.7316
2771.157829 86.619 25.7457
2791.238781 86.786 25.6284
2811.465248 86.959 25.3849
2831.838284 87.135 25.0383
2852.358952 87.313 24.6089
2873.028321 87.496 24.0936
2893.847468 87.684 23.4633
2914.817480 87.877 22.6763
2935.939449 88.070 21.6979
2957.214476 88.258 20.5132
2978.643672 88.433 19.1320
3000.228152 88.591 17.5825
3021.969041 88.728 15.9038
3043.867475 88.841 14.1392
3065.924593 88.929 12.3345
3088.141547 88.995 10.5372
3110.519493 89.041 8.7892
3133.059600 89.074 7.1143
3155.763041 89.101 5.5093
3178.631001 89.127 3.9473
3201.664672 89.153 2.3947
3224.865254 89.177 0.8287
3248.233957 89.198 -0.7517
3271.771999 89.211 -2.3300
3295.480608 89.215 -3.8802
3319.361019 89.207 -5.3760
3343.414477 89.188 -6.7970
3367.642236 89.154 -8.1321
3392.045560 89.104 -9.3746
3416.625721 89.037 -10.5123
3441.383999 88.953 -11.5177
3466.321686 88.854 -12.3480
3491.440082 88.745 -12.9500
3516.740496 88.632 -13.2704
3542.224247 88.524 -13.2667
3567.892664 88.429 -12.9117
3593.747085 88.356 -12.2025
3619.788858 88.313 -11.1752
3646.019340 88.307 -9.9132
3672.439900 88.345 -8.5383
3699.051913 88.427 -7.1901
3725.856768 88.551 -6.0050
3752.855862 88.712 -5.1031
3780.050603 88.899 -4.5778
